,2020-W03,2020-W04,2020-W05,2020-W06,2020-W07,2020-W08,2020-W09,2020-W10,2020-W11,2020-W12,2020-W13,2020-W14,2020-W15,2020-W16,2020-W17,2020-W18,2020-W19,2020-W20,2020-W21,2020-W22,2020-W23,2020-W24,2020-W25,2020-W26,2020-W27,2020-W28,2020-W29,2020-W30,2020-W31,2020-W32,2020-W33,2020-W34,2020-W35,2020-W36,2020-W37,2020-W38,2020-W39,2020-W40,2020-W41,2020-W42,2020-W43,2020-W44,2020-W45,2020-W46,2020-W47,2020-W48,2020-W49,2020-W50,2020-W51,2020-W52,2020-W53
new_confirmed,0.14285714285714285,1.2857142857142858,0.7142857142857143,1.0,0.8571428571428571,2.2857142857142856,10.571428571428571,102.28571428571429,712.5714285714286,4871.285714285715,15874.57142857143,27336.285714285714,31144.0,28184.428571428572,30294.285714285714,27418.285714285714,24410.285714285714,22634.428571428572,22137.14285714286,20839.285714285714,20767.714285714286,20998.14285714286,26353.428571428572,38355.57142857143,49334.28571428572,57906.57142857143,65874.85714285714,65876.42857142857,61118.42857142857,52237.142857142855,51361.28571428572,42457.57142857143,41265.857142857145,39822.28571428572,34233.0,40053.57142857143,44081.42857142857,43046.28571428572,49221.0,55019.42857142857,69207.57142857143,90865.14285714286,114752.0,150073.14285714287,171968.57142857142,161036.7142857143,197632.42857142858,212657.2857142857,215320.57142857142,182095.14285714287,213085.85714285713
new_recovered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,210.28571428571428,957.8571428571429,1959.4285714285713,2721.0,3479.285714285714,4879.857142857143,4917.714285714285,5645.428571428572,6798.714285714285,7059.142857142857,6782.857142857143,7325.714285714285,7296.428571428572,9878.857142857143,12340.142857142857,15062.714285714286,20977.428571428572,21240.0,23467.14285714286,22062.571428571428,20863.571428571428,19686.714285714286,20620.571428571428,16475.285714285714,17184.285714285714,22872.285714285714,18623.571428571428,17883.428571428572,19375.14285714286,23726.714285714286,26425.571428571428,31080.85714285714,38133.0,43100.42857142857,69190.42857142857,70173.14285714286,85905.85714285714,81112.57142857143,71863.14285714286,80905.57142857143
new_deceased,0.0,0.0,0.0,0.0,0.0,0.0,1.2857142857142858,3.5714285714285716,7.0,57.285714285714285,337.2857142857143,1110.5714285714287,1894.857142857143,2070.8571428571427,1865.142857142857,1824.2857142857142,1772.5714285714287,1374.142857142857,1138.2857142857142,936.2857142857143,786.8571428571429,739.0,590.5714285714286,538.4285714285714,489.42857142857144,699.2857142857143,746.0,905.7142857142857,1135.857142857143,1055.2857142857142,1072.4285714285713,979.2857142857143,916.7142857142857,840.4285714285714,721.0,783.8571428571429,750.5714285714286,694.2857142857143,705.0,687.1428571428571,811.4285714285714,819.5714285714286,1017.5714285714286,1143.2857142857142,1495.142857142857,1442.857142857143,2198.285714285714,2434.1428571428573,2638.4285714285716,2195.8571428571427,2636.4285714285716
