,2022-W01,2022-W02,2022-W03,2022-W04,2022-W05,2022-W06,2022-W07,2022-W08,2022-W09,2022-W10,2022-W11,2022-W12,2022-W13,2022-W14,2022-W15,2022-W16,2022-W17,2022-W18,2022-W19,2022-W20,2022-W21,2022-W22,2022-W23,2022-W24,2022-W25,2022-W26,2022-W27,2022-W28,2022-W29,2022-W30,2022-W31,2022-W32,2022-W33,2022-W34,2022-W35,2022-W36,2022-W37,2022-W52
new_confirmed,719461.8571428572,806867.7142857143,692803.1428571428,522395.71428571426,298565.28571428574,172770.57142857142,106865.85714285714,65198.0,47674.57142857143,34924.42857142857,32730.428571428572,29999.85714285714,28559.285714285714,31873.285714285714,37190.57142857143,47360.0,58116.857142857145,71103.85714285714,91763.57142857143,110436.57142857143,105532.0,106753.71428571429,109384.71428571429,97524.42857142857,110312.42857142857,106434.0,113546.85714285714,129597.42857142857,128625.28571428571,124222.28571428571,116916.0,103509.28571428571,94430.42857142857,90001.42857142857,84775.42857142857,66525.42857142857,89761.75,-31136.0
new_recovered,0.0,0.0,0.0,0.0,0.0,-128.57142857142858,128.57142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
new_deceased,1699.7142857142858,1970.5714285714287,2161.8571428571427,2524.8571428571427,2578.0,2423.714285714286,2216.285714285714,1854.2857142857142,1503.2857142857142,1274.7142857142858,541.7142857142857,760.1428571428571,652.4285714285714,537.0,487.7142857142857,353.14285714285717,331.7142857142857,607.7142857142857,294.0,315.42857142857144,370.0,284.0,385.14285714285717,292.85714285714283,371.14285714285717,359.14285714285717,327.14285714285717,425.0,437.2857142857143,426.85714285714283,496.85714285714283,482.7142857142857,451.57142857142856,475.85714285714283,528.0,394.57142857142856,708.0,0.0
