,2021-W01,2021-W02,2021-W03,2021-W04,2021-W05,2021-W06,2021-W07,2021-W08,2021-W09,2021-W10,2021-W11,2021-W12,2021-W13,2021-W14,2021-W15,2021-W16,2021-W17,2021-W18,2021-W19,2021-W20,2021-W21,2021-W22,2021-W23,2021-W24,2021-W25,2021-W26,2021-W27,2021-W28,2021-W29,2021-W30,2021-W31,2021-W32,2021-W33,2021-W34,2021-W35,2021-W36,2021-W37,2021-W38,2021-W39,2021-W40,2021-W41,2021-W42,2021-W43,2021-W44,2021-W45,2021-W46,2021-W47,2021-W48,2021-W49,2021-W50,2021-W51,2021-W52
new_confirmed,244875.2857142857,216466.7142857143,169310.85714285713,146603.85714285713,117247.28571428571,90295.14285714286,64407.71428571428,67269.71428571429,57906.57142857143,60287.857142857145,54275.0,62922.71428571428,63921.857142857145,69482.71428571429,67479.0,58241.0,49182.28571428572,40950.71428571428,33023.42857142857,25167.14285714286,19928.285714285714,8294.714285714286,14561.857142857143,11129.42857142857,11887.857142857143,19168.85714285714,23604.14285714286,32347.428571428572,52166.142857142855,79804.42857142857,110367.28571428571,130909.0,149652.14285714287,156930.57142857142,161355.2857142857,146098.2857142857,148342.7142857143,120103.14285714286,106666.28571428571,96621.14285714286,83520.28571428571,72494.14285714286,72926.28571428571,73574.57142857143,83938.85714285714,93646.0,71802.28571428571,121410.71428571429,119586.42857142857,133235.57142857142,205584.85714285713,412508.14285714284
new_recovered,79543.57142857143,75536.42857142857,75067.57142857143,74183.28571428571,69608.85714285714,61380.28571428572,47253.71428571428,43962.28571428572,30855.0,105.85714285714286,70.71428571428571,68.14285714285714,84.14285714285714,77.57142857142857,74.71428571428571,68.57142857142857,59.57142857142857,47.0,26.571428571428573,21.857142857142858,-106.14285714285714,134.57142857142858,12.571428571428571,9.428571428571429,3.7142857142857144,3.7142857142857144,3.4285714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
new_deceased,3203.8571428571427,3324.8571428571427,3053.1428571428573,3137.5714285714284,3126.285714285714,3093.8571428571427,1893.7142857142858,2010.857142857143,1695.142857142857,1405.857142857143,1064.5714285714287,990.7142857142857,814.4285714285714,996.5714285714286,749.7142857142857,708.1428571428571,698.4285714285714,662.1428571428571,609.5714285714286,561.4285714285714,665.4285714285714,375.14285714285717,360.85714285714283,300.85714285714283,306.7142857142857,214.42857142857142,226.28571428571428,274.14285714285717,271.14285714285717,344.85714285714283,518.4285714285714,664.7142857142857,1010.5714285714286,1295.4285714285713,1563.2857142857142,1661.5714285714287,2020.0,2035.857142857143,1899.0,1788.4285714285713,1532.142857142857,1653.7142857142858,1349.2857142857142,1217.5714285714287,1127.2857142857142,1416.5714285714287,796.5714285714286,1366.142857142857,1286.4285714285713,1280.5714285714287,1433.4285714285713,1351.4285714285713
