2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12
12,89,197137,876732,717862,831607,1900614,1456883,1192693,1892451,4477140,6323732
0,0,454,50300,170555,224401,502820,651252,582673,659256,1342674,2472950
0,6,4331,55289,41128,19504,25215,30246,23328,23570,37147,77213
